Organization,State,Program,Award Amount,Award Date,Type
North Spartanburg Fire and Emergency Services District,SC,Fire Prevention,"$19,048 ",1/16/2001,FPS
City of Cortland Fire Department,NY,Fire Prevention,"$24,939 ",1/16/2001,FPS
City of Dearborn,MI,Fire Prevention,"$168,077 ",1/16/2001,FPS
City of Mt. Morris Fire Department,MI,Fire Prevention,"$51,363 ",1/16/2001,FPS
Culver City Fire Department,CA,Fire Prevention,"$11,048 ",1/16/2001,FPS
Donora Volunteer Fire Company,PA,Fire Prevention,"$20,700 ",1/16/2001,FPS
East Alabama Water Sewer and Fire Protection Distr,AL,Fire Prevention,"$21,715 ",1/16/2001,FPS
American Red Cross,DC,Fire Prevention,"$1,266,674 ",1/16/2001,FPS
Grand Rapids Fire Department,MI,Fire Prevention,"$189,143 ",1/16/2001,FPS
Augusta County Fire-Rescue,VA,Fire Prevention,"$114,720 ",1/16/2001,FPS
Pierce County Fire Protection District #27,WA,Fire Prevention,"$99,658 ",1/16/2001,FPS
"Sonora Environmental Research Institute, Inc.",AZ,Fire Prevention,"$288,400 ",1/16/2001,FPS
Springfield Fire Department,IL,Fire Prevention,"$11,048 ",1/16/2001,FPS
Springfield Fire Department,MO,Fire Prevention,"$26,115 ",1/16/2001,FPS
The University of North Carolina at Chapel Hill,NC,Research and Prevention,"$295,298 ",1/16/2001,FPS
Tucson Fire Department,AZ,Fire Prevention,"$300,067 ",1/16/2001,FPS
Tulare City Fire Department,CA,Fire Prevention,"$17,334 ",1/16/2001,FPS
Chautauqua Children's Safety Education Village Inc,NY,Fire Prevention,"$54,739 ",1/16/2001,FPS
WESTERLO VLNTR FIRE CO,NY,Fire Prevention,"$57,026 ",1/16/2001,FPS
City of Lowell Fire Department,MA,Fire Prevention,"$54,286 ",1/16/2001,FPS
Alisa Ann Ruch Burn Foundation,CA,Fire Prevention,"$273,138 ",1/16/2001,FPS
University Corporation for Atmospheric Research,CO,Research,"$179,340 ",1/16/2001,FPS
Village of Fayetteville Fire Department,NY,Fire Prevention,"$65,332 ",1/16/2001,FPS
Alternative Community Resource Program,PA,Fire Prevention,"$88,286 ",1/16/2001,FPS
Centennial Fire District,MN,Fire Prevention,"$16,418 ",1/16/2001,FPS
MySafe:LA,CA,Fire Prevention,"$415,022 ",1/16/2001,FPS
"National Development and Research Institutes, Inc.",NY,Research,"$1,500,000 ",1/16/2001,FPS
North Carolina State University,NC,Research,"$1,428,569 ",1/16/2001,FPS
San Francisco Fire Department,CA,Fire Prevention,"$134,858 ",1/16/2001,FPS
Underwriters Laboratories Inc.,IL,Research,"$1,357,321 ",1/16/2001,FPS
International Association of Arson Investigators,MD,Fire Prevention,"$799,623 ",1/15/2001,FPS
"National Fire Sprinkler Association, Inc.",NY,Fire Prevention,"$100,100 ",1/15/2001,FPS
"Arizona Board of Regents, University of Arizona",AZ,Research,"$1,500,000 ",1/16/2001,FPS
Dearborn Heights Fire Department,MI,Fire Prevention,"$135,239 ",1/16/2001,FPS
Montebello Fire Department,CA,Fire Prevention,"$16,379 ",1/16/2001,FPS
Summerfield Fire District Inc.,NC,Fire Prevention,"$25,034 ",1/15/2001,FPS
Tallahassee Fire Department,FL,Fire Prevention,"$88,953 ",1/15/2001,FPS
The Board of Trustees of the Univ of Illinois,IL,Fire Prevention,"$1,390,724 ",1/15/2001,FPS
Elk Creek Fire Protection District,CO,Fire Prevention,"$123,810 ",1/15/2001,FPS
Tulsa Fire Department,OK,Fire Prevention,"$11,429 ",1/15/2001,FPS
Emergency Performance Inc.,NC,Fire Prevention,"$1,309,524 ",1/15/2001,FPS
Detroit (MI) Fire Department,MI,Fire Prevention,"$349,776 ",1/15/2001,FPS
International Association of Fire Chiefs,VA,Fire Prevention,"$1,499,511 ",1/15/2001,FPS
International Association of Fire Fighters,DC,Fire Prevention,"$1,427,418 ",1/15/2001,FPS
Iowa Firemen's Association/Iowa State Fire Marshal,IA,Fire Prevention,"$190,477 ",1/15/2001,FPS
National Fire Protection Association,MA,Fire Prevention,"$1,068,088 ",1/15/2001,FPS
New York University Polytechnic School of Eng.,NY,Fire Prevention,"$1,428,039 ",1/15/2001,FPS
Scott & White Memorial Hospital,TX,Fire Prevention,"$1,394,953 ",1/15/2001,FPS
Anaheim Fire & Rescue,CA,Fire Prevention,"$309,524 ",1/15/2001,FPS
City of Somerville Fire Department,MA,Fire Prevention,"$39,446 ",1/15/2001,FPS
Burn Institute,CA,Fire Prevention,"$93,664 ",1/15/2001,FPS
Department of Fire Services- Commonwealth of MA,MA,Fire Prevention,"$143,173 ",1/15/2001,FPS
City of Royal Oak Fire Department,MI,Fire Prevention,"$63,524 ",1/15/2001,FPS
FireSafe Montana,MT,Fire Prevention,"$167,334 ",1/15/2001,FPS
Healthy Homes Coalition of West Michigan,MI,Fire Prevention,"$50,659 ",1/15/2001,FPS
Laramie Fire Department,WY,Fire Prevention,"$33,840 ",1/15/2001,FPS
Lincoln Fire and Rescue,NE,Fire Prevention,"$140,190 ",1/15/2001,FPS
"Montgomery County, MD (Fire and Rescue Service)",MD,Fire Prevention,"$308,096 ",1/15/2001,FPS
Omaha Fire Department,NE,Fire Prevention,"$161,621 ",1/15/2001,FPS
Sandy Spring Volunteer Fire Department,MD,Fire Prevention,"$94,627 ",1/15/2001,FPS
American Red Cross,DC,Fire Prevention,"$1,500,000 ",1/15/2001,FPS
Chester Fire Department,PA,Fire Prevention,"$124,762 ",1/15/2001,FPS
Layton City Fire Department,UT,Fire Prevention,"$23,734 ",1/15/2001,FPS
Miami-Dade Fire Rescue,FL,Fire Prevention,"$305,534 ",1/15/2001,FPS
MICHIGAN PUBLIC HEALTH INSTITUTE,MI,Fire Prevention,"$486,415 ",1/15/2001,FPS
New Orleans Fire Department,LA,Fire Prevention,"$154,000 ",1/15/2001,FPS
Rapid City Department of Fire & Emergency Services,SD,Fire Prevention,"$20,272 ",1/15/2001,FPS
Sacramento Metropolitan Fire District,CA,Fire Prevention,"$444,873 ",1/15/2001,FPS
St. Louis Fire Department,MO,Fire Prevention,"$206,262 ",1/15/2001,FPS
Verdunville Volunteer Fire Department,WV,Fire Prevention,"$29,679 ",1/15/2001,FPS
Allentown Volunteer Fire Department,GA,Fire Prevention,"$23,810 ",1/15/2001,FPS
City of Springfield Fire Rescue Division,OH,Fire Prevention,"$19,048 ",1/15/2001,FPS
Champaign Fire Department,IL,Fire Prevention,"$35,753 ",1/15/2001,FPS
Cora Volunteer Fire Dept.,WV,Fire Prevention,"$31,334 ",1/15/2001,FPS
Clintonville Volunteer Fire Department,WV,Fire Prevention,"$32,000 ",1/15/2001,FPS
Hardin County Fire Department,TN,Fire Prevention,"$25,010 ",1/15/2001,FPS
Honolulu Fire Department,HI,Fire Prevention,"$12,262 ",1/15/2001,FPS
International Assoc. of Firefighters Foundation,DC,Fire Prevention,"$799,536 ",1/15/2001,FPS
Medical University of South Carolina,SC,Research and Prevention,"$375,602 ",1/15/2001,FPS
Mi Wuk Sugar Pine Fire Protection District,CA,Fire Prevention,"$17,027 ",1/15/2001,FPS
Underwriters Laboratories Inc.,IL,Research,"$1,500,000 ",1/15/2001,FPS
"National Volunteer Fire Council, Inc.",MD,Fire Prevention,"$786,580 ",1/15/2001,FPS
Brookline Fire Department,MA,Fire Prevention,"$76,034 ",1/15/2001,FPS
"Chandler Fire, Health & Medical",AZ,Fire Prevention,"$169,759 ",1/15/2001,FPS
California Fire Prevention Organization,CA,Fire Prevention,"$437,625 ",1/15/2001,FPS
City of Dallas,TX,Fire Prevention,"$94,412 ",1/15/2001,FPS
Cincinnati Fire Department,OH,Fire Prevention,"$23,787 ",1/15/2001,FPS
City of Clermont (FL) Fire Department,FL,Fire Prevention,"$94,286 ",1/15/2001,FPS
Pleasant View Volunteer Fire Department,TN,Fire Prevention,"$208,903 ",1/15/2001,FPS
President and Fellows of Harvard College,MA,Research,"$1,500,000 ",1/15/2001,FPS
Professional Fire Fighters of Wisconsin Charitable,WI,Fire Prevention,"$54,858 ",1/15/2001,FPS
Hobart Fire Department,IN,Fire Prevention,"$7,375 ",1/15/2001,FPS
Southaven Fire Department,MS,Fire Prevention,"$16,191 ",1/15/2001,FPS
Kearny Fire Department,NJ,Fire Prevention,"$49,316 ",1/15/2001,FPS
Springfield Fire Department,IL,Fire Prevention,"$17,905 ",1/15/2001,FPS
MySafe:LA,CA,Fire Prevention,"$380,063 ",1/15/2001,FPS
Tucson Fire Department,AZ,Fire Prevention,"$341,681 ",1/15/2001,FPS
"National Development and Research Institutes, Inc.",NY,Research,"$1,497,200 ",1/15/2001,FPS
National Fallen Firefighters Foundation,MD,Fire Prevention,"$1,410,681 ",1/15/2001,FPS
Oklahoma Assistive Technology Foundation,OK,Fire Prevention,"$371,994 ",1/15/2001,FPS
Orange County Fire Rescue Department,FL,Fire Prevention,"$114,381 ",1/15/2001,FPS
Pierce County Fire District No. 3,WA,Fire Prevention,"$92,353 ",1/15/2001,FPS
Fort Wayne Fire Department,IN,Fire Prevention,"$70,191 ",1/15/2001,FPS
Easton Fire Department,PA,Fire Prevention,"$23,362 ",1/15/2001,FPS
New York State Assn. of Fire Chiefs,NY,Fire Prevention,"$244,052 ",1/15/2001,FPS
Floral Park Centre Fire Company,NY,Fire Prevention,"$18,086 ",1/15/2001,FPS
Springfield Fire Department,MA,Fire Prevention,"$54,791 ",1/15/2001,FPS
"University of Kansas Center for Research, Inc.",KS,Fire Prevention,"$183,513 ",1/15/2001,FPS
Witt Volunteer Fire Department,IL,Fire Prevention,"$8,591 ",1/15/2001,FPS
"Arizona Board of Regents, University of Arizona",AZ,Research,"$1,500,000 ",1/15/2001,FPS
Ashland Fire & Rescue,OR,Fire Prevention,"$110,717 ",1/15/2001,FPS
Bowman Fire Department,SC,Fire Prevention,"$10,286 ",1/15/2001,FPS
Case Western Reserve University,OH,Research,"$1,500,000 ",1/15/2001,FPS
"CFAI-Risk, Inc.",VA,Fire Prevention,"$1,278,176 ",1/15/2001,FPS
City of Dearborn,MI,Fire Prevention,"$69,753 ",1/15/2001,FPS
Bristol Fire Company,PA,Fire Prevention,"$11,048 ",1/15/2001,FPS
D.C. Firefighters Burn Foundation,DC,Fire Prevention,"$232,381 ",1/15/2001,FPS
Fire Protection Research Foundation,MA,Research and Prevention,"$829,772 ",1/15/2001,FPS
Institution of Fire Engineers U.S. Branch,VA,Fire Prevention,"$774,537 ",1/15/2001,FPS
Alaska Department of Public Safety,AK,Fire Prevention,"$70,400 ",1/15/2001,FPS
"City of Portland, Fire & Rescue",OR,Fire Prevention,"$95,239 ",1/15/2001,FPS
Fairfield Fire Department,CA,Fire Prevention,"$9,572 ",1/15/2001,FPS
"Focus on Fire Prevention, Inc.",FL,Fire Prevention,"$131,267 ",1/15/2001,FPS
